date,spot_price,futures_price,futures_expiry
2024-01-01,42000,42840,2024-01-31
2024-01-02,42500,43350,2024-01-31
2024-01-03,43000,43860,2024-01-31
2024-01-04,42800,43670,2024-01-31
2024-01-05,43200,44064,2024-01-31
2024-01-08,43500,44350,2024-01-31
2024-01-09,44000,44880,2024-01-31
2024-01-10,44200,45086,2024-01-31
2024-01-11,44500,45390,2024-01-31
2024-01-12,44800,45696,2024-01-31
2024-01-15,45000,45900,2024-01-31
2024-01-16,45200,46104,2024-01-31
2024-01-17,45500,46410,2024-01-31
2024-01-18,45800,46716,2024-01-31
2024-01-19,46000,46920,2024-01-31
2024-01-22,46200,47124,2024-01-31
2024-01-23,46500,47430,2024-01-31
2024-01-24,46800,47736,2024-01-31
2024-01-25,47000,47940,2024-01-31
2024-01-26,47200,48144,2024-01-31
2024-01-29,47500,48450,2024-01-31
2024-01-30,47800,48756,2024-01-31
2024-01-31,48000,48480,2024-02-29
2024-02-01,48200,49044,2024-02-29
2024-02-02,48500,49370,2024-02-29
2024-02-05,48800,49672,2024-02-29
2024-02-06,49000,49980,2024-02-29
2024-02-07,49200,50184,2024-02-29
2024-02-08,49500,50490,2024-02-29
2024-02-09,49800,50796,2024-02-29
2024-02-12,50000,51000,2024-02-29
2024-02-13,50200,51204,2024-02-29
2024-02-14,50500,51510,2024-02-29
2024-02-15,50800,51816,2024-02-29
2024-02-16,51000,52020,2024-02-29
2024-02-19,51200,52224,2024-02-29
2024-02-20,51500,52530,2024-02-29
2024-02-21,51800,52836,2024-02-29
2024-02-22,52000,53040,2024-02-29
2024-02-23,52200,53244,2024-02-29
2024-02-26,52500,53550,2024-02-29
2024-02-27,52800,53856,2024-02-29
2024-02-28,53000,53530,2024-03-31
2024-02-29,53200,54128,2024-03-31
2024-03-01,53500,54420,2024-03-31
2024-03-04,53800,54726,2024-03-31
2024-03-05,54000,55080,2024-03-31
2024-03-06,54200,55284,2024-03-31
2024-03-07,54500,55590,2024-03-31
2024-03-08,54800,55896,2024-03-31
2024-03-11,55000,56100,2024-03-31
2024-03-12,55200,56304,2024-03-31
2024-03-13,55500,56610,2024-03-31
2024-03-14,55800,56916,2024-03-31
2024-03-15,56000,57120,2024-03-31
2024-03-18,56200,57324,2024-03-31
2024-03-19,56500,57630,2024-03-31
2024-03-20,56800,57936,2024-03-31
2024-03-21,57000,58140,2024-03-31
2024-03-22,57200,58344,2024-03-31
2024-03-25,57500,58650,2024-03-31
2024-03-26,57800,58956,2024-03-31
2024-03-27,58000,59160,2024-03-31
2024-03-28,58200,59364,2024-03-31
2024-03-29,58500,59670,2024-03-31
