date,spot_price,futures_price,futures_expiry
2024-01-01,50000,51000,2024-01-31
2024-01-02,50100,51102,2024-01-31
2024-01-03,49900,50898,2024-01-31
2024-01-04,50000,51000,2024-01-31
2024-01-05,50200,51204,2024-01-31
2024-01-08,50100,51102,2024-01-31
2024-01-09,49950,50949,2024-01-31
2024-01-10,50050,51050,2024-01-31
2024-01-11,50000,51000,2024-01-31
2024-01-12,50100,51102,2024-01-31
2024-01-15,50050,51050,2024-01-31
2024-01-16,49980,50980,2024-01-31
2024-01-17,50020,51020,2024-01-31
2024-01-18,50000,51000,2024-01-31
2024-01-19,50100,51102,2024-01-31
2024-01-22,50050,51050,2024-01-31
2024-01-23,49950,50949,2024-01-31
2024-01-24,50000,51000,2024-01-31
2024-01-25,50100,51102,2024-01-31
2024-01-26,50000,51000,2024-01-31
2024-01-29,50050,51050,2024-01-31
2024-01-30,50000,51000,2024-01-31
2024-01-31,50000,50500,2024-02-29
2024-02-01,50100,50601,2024-02-29
2024-02-02,50050,50550,2024-02-29
2024-02-05,49950,50450,2024-02-29
2024-02-06,50000,50500,2024-02-29
2024-02-07,50100,50601,2024-02-29
2024-02-08,50000,50500,2024-02-29
2024-02-09,49950,50450,2024-02-29
2024-02-12,50000,50500,2024-02-29
2024-02-13,50050,50550,2024-02-29
2024-02-14,50000,50500,2024-02-29
2024-02-15,50100,50601,2024-02-29
2024-02-16,50000,50500,2024-02-29
2024-02-19,49950,50450,2024-02-29
2024-02-20,50000,50500,2024-02-29
2024-02-21,50050,50550,2024-02-29
2024-02-22,50000,50500,2024-02-29
2024-02-23,50100,50601,2024-02-29
2024-02-26,50000,50500,2024-02-29
2024-02-27,50050,50550,2024-02-29
2024-02-28,50000,50250,2024-03-31
2024-02-29,50100,50350,2024-03-31
2024-03-01,50000,50250,2024-03-31
